idx,x,y,observable
1,0.9250371221,0.3625904598,2.987165519
2,0.9250371221,0.3625904598,2.987165519
3,0.146996363,0.8152577824,2.686253182
4,0.3203182394,0.2816789064,2.181946781
5,0.3203182394,0.2816789064,2.181946781
6,0.3203182394,0.2816789064,2.181946781
7,0.3203182394,0.2816789064,2.181946781
8,-1.146208863,0.1927619876,3.350951942
9,-0.7396312269,0.56360426,2.864704114
10,-0.7396312269,0.56360426,2.864704114
11,-0.7396312269,0.56360426,2.864704114
12,-0.7396312269,0.56360426,2.864704114
13,0.1897601377,0.1517269221,2.059029969
14,0.1897601377,0.1517269221,2.059029969
15,0.1897601377,0.1517269221,2.059029969
16,0.1897601377,0.1517269221,2.059029969
17,0.1897601377,0.1517269221,2.059029969
18,0.1897601377,0.1517269221,2.059029969
19,0.1897601377,0.1517269221,2.059029969
20,0.1897601377,0.1517269221,2.059029969
21,0.1897601377,0.1517269221,2.059029969
22,0.6987304454,0.9043414623,3.306057716
23,-0.1093881981,0.482300733,2.244579775
24,-0.1093881981,0.482300733,2.244579775
25,-0.1295682766,0.7615684834,2.596774493
26,-0.5127668448,1.197034508,3.69582145
27,0.8947804171,1.41270721,4.796373655
28,0.8947804171,1.41270721,4.796373655
29,0.8947804171,1.41270721,4.796373655
30,0.5064765216,1.042037877,3.342361404
31,0.5064765216,1.042037877,3.342361404
32,0.5064765216,1.042037877,3.342361404
33,0.004680914919,0.08032547495,2.006474093
34,0.004680914919,0.08032547495,2.006474093
35,0.7937449833,0.7763640022,3.232772162
36,0.7937449833,0.7763640022,3.232772162
37,0.7937449833,0.7763640022,3.232772162
38,0.7937449833,0.7763640022,3.232772162
39,0.7937449833,0.7763640022,3.232772162
40,0.7937449833,0.7763640022,3.232772162
41,0.7937449833,0.7763640022,3.232772162
42,-0.0952039926,0.1080711813,2.02074318
43,0.7063181481,1.102665053,3.714755545
44,0.1854666862,1.236573548,3.563512031
45,0.1854666862,1.236573548,3.563512031
46,0.1854666862,1.236573548,3.563512031
47,0.7893454556,0.684705204,3.091887465
48,1.088605744,1.874840618,6.700089811
49,1.245098874,1.170534879,4.920423108
50,1.245098874,1.170534879,4.920423108
51,1.245098874,1.170534879,4.920423108
52,0.7828544899,1.43092117,4.660396548
53,0.7828544899,1.43092117,4.660396548
54,0.7828544899,1.43092117,4.660396548
55,0.7828544899,1.43092117,4.660396548
56,0.7828544899,1.43092117,4.660396548
57,1.186568653,0.7163299632,3.921073784
58,1.186568653,0.7163299632,3.921073784
59,1.186568653,0.7163299632,3.921073784
60,1.186568653,0.7163299632,3.921073784
61,1.186568653,0.7163299632,3.921073784
62,-0.179095426,0.3271940074,2.13913109
63,-0.4682751567,0.3313157824,2.32905177
64,-0.4682751567,0.3313157824,2.32905177
65,0.04034793358,0.04182029457,2.003376893
66,0.04034793358,0.04182029457,2.003376893
67,-0.1926225117,0.6076556309,2.406348798
68,1.649326582,0.3395886751,4.835598641
69,1.649326582,0.3395886751,4.835598641
70,0.877973745,0.1426251896,2.791179842
71,0.877973745,0.1426251896,2.791179842
72,1.149436666,0.9687846188,4.259748287
73,1.149436666,0.9687846188,4.259748287
74,1.149436666,0.9687846188,4.259748287
75,0.6930026916,1.739091328,5.504691378
76,0.6930026916,1.739091328,5.504691378
77,0.6930026916,1.739091328,5.504691378
78,1.954822396,1.503669002,8.082351067
79,1.954822396,1.503669002,8.082351067
80,1.954822396,1.503669002,8.082351067
81,1.868855946,1.208862186,6.953970331
82,1.642486495,1.539769829,7.06865301
83,0.7748707746,1.948221045,6.395989957
84,0.7748707746,1.948221045,6.395989957
85,1.820123117,1.718478645,8.266017014
86,1.820123117,1.718478645,8.266017014
87,1.450346354,0.1138103175,4.116457334
88,1.450346354,0.1138103175,4.116457334
89,1.573992163,0.9361333274,5.353796935
90,1.394283744,1.048418562,5.043208639
91,1.394283744,1.048418562,5.043208639
92,1.394283744,1.048418562,5.043208639
93,1.394283744,1.048418562,5.043208639
94,1.394283744,1.048418562,5.043208639
95,1.394283744,1.048418562,5.043208639
96,1.318638138,0.4695694873,3.959302043
97,1.318638138,0.4695694873,3.959302043
98,0.3970206633,1.240467746,3.696385636
99,0.3970206633,1.240467746,3.696385636
100,0.8470790306,0.05419094845,2.720479543
101,0.2381579364,0.4656328886,2.27353319
102,0.2381579364,0.4656328886,2.27353319
103,0.2381579364,0.4656328886,2.27353319
104,0.2381579364,0.4656328886,2.27353319
105,0.2381579364,0.4656328886,2.27353319
106,0.2381579364,0.4656328886,2.27353319
