idx,x,y,observable
1,-0.2859398152,0.2834078236,2.162081572
2,-0.2859398152,0.2834078236,2.162081572
3,-0.2859398152,0.2834078236,2.162081572
4,-0.2859398152,0.2834078236,2.162081572
5,-0.2859398152,0.2834078236,2.162081572
6,-0.5820486289,0.2633953529,2.408157718
7,0.2497800573,1.114626772,3.304782919
8,0.2497800573,1.114626772,3.304782919
9,0.2497800573,1.114626772,3.304782919
10,-0.6017335123,0.7937323159,2.992094209
11,-0.6017335123,0.7937323159,2.992094209
12,0.6735374153,0.2147946825,2.499789405
13,0.6735374153,0.2147946825,2.499789405
14,0.6735374153,0.2147946825,2.499789405
15,0.6918314029,0.4465854585,2.678069262
16,0.6918314029,0.4465854585,2.678069262
17,0.6918314029,0.4465854585,2.678069262
18,1.382353035,1.720006069,6.86932079
19,1.382353035,1.720006069,6.86932079
20,1.382353035,1.720006069,6.86932079
21,1.382353035,1.720006069,6.86932079
22,1.382353035,1.720006069,6.86932079
23,1.382353035,1.720006069,6.86932079
24,1.382353035,1.720006069,6.86932079
25,1.382353035,1.720006069,6.86932079
26,1.382353035,1.720006069,6.86932079
27,1.382353035,1.720006069,6.86932079
28,1.382353035,1.720006069,6.86932079
29,1.382353035,1.720006069,6.86932079
30,-0.3286773871,0.9659994939,3.041183847
31,-0.3286773871,0.9659994939,3.041183847
32,-0.3286773871,0.9659994939,3.041183847
33,-0.3286773871,0.9659994939,3.041183847
34,-0.3286773871,0.9659994939,3.041183847
35,-0.3286773871,0.9659994939,3.041183847
36,-0.3286773871,0.9659994939,3.041183847
37,-0.3286773871,0.9659994939,3.041183847
38,-0.3286773871,0.9659994939,3.041183847
39,-0.3286773871,0.9659994939,3.041183847
40,-0.3286773871,0.9659994939,3.041183847
41,0.8966171131,0.6783518733,3.264083511
42,0.8966171131,0.6783518733,3.264083511
43,0.8966171131,0.6783518733,3.264083511
44,-0.05384893016,0.4184817174,2.178026655
45,-0.05384893016,0.4184817174,2.178026655
46,-0.05384893016,0.4184817174,2.178026655
47,-0.05384893016,0.4184817174,2.178026655
48,-0.05384893016,0.4184817174,2.178026655
49,-0.05384893016,0.4184817174,2.178026655
50,-0.05384893016,0.4184817174,2.178026655
51,-0.05384893016,0.4184817174,2.178026655
52,-0.05384893016,0.4184817174,2.178026655
53,-0.05384893016,0.4184817174,2.178026655
54,-0.05384893016,0.4184817174,2.178026655
55,0.6360466887,0.5291628497,2.684568712
56,0.6360466887,0.5291628497,2.684568712
57,0.6360466887,0.5291628497,2.684568712
58,0.6360466887,0.5291628497,2.684568712
59,0.6360466887,0.5291628497,2.684568712
60,0.6360466887,0.5291628497,2.684568712
61,0.6360466887,0.5291628497,2.684568712
62,0.6360466887,0.5291628497,2.684568712
63,0.6360466887,0.5291628497,2.684568712
64,0.6360466887,0.5291628497,2.684568712
65,0.6360466887,0.5291628497,2.684568712
