idx,x,y,observable
1,0.3117256075,1.156307677,4.924588046
2,-0.1005268413,0.1070622504,1.999927248
3,-0.1016289958,0.5646029257,2.199222765
4,-0.009827465144,0.9955321787,2.962059196
5,0.3292404647,2.235361099,14.83224696
6,-0.1116479636,1.74020219,4.150665178
7,0.4488258382,1.981714278,14.91573661
8,0.2879256516,1.69884607,8.103983882
9,0.2879256516,1.69884607,8.103983882
10,0.8781964893,1.4380409,17.10943331
11,1.074122367,1.341455568,20.92468832
12,1.074122367,1.341455568,20.92468832
13,0.8911773442,1.579131802,21.60012358
14,0.9277279271,1.69447432,27.60679969
15,0.9277279271,1.69447432,27.60679969
16,0.9277279271,1.69447432,27.60679969
17,0.133910261,1.941028973,7.502849485
18,0.2710054816,1.274597615,5.223808406
19,0.2710054816,1.274597615,5.223808406
20,0.1183143833,0.8260406906,2.973168903
21,0.1183143833,0.8260406906,2.973168903
22,-0.3046008601,0.6170741352,2.049709292
23,-0.3280302985,0.3499852304,1.988216032
24,-0.2735665843,0.1153827628,2.023269016
25,-0.2735665843,0.1153827628,2.023269016
26,-0.2735665843,0.1153827628,2.023269016
27,-0.2735665843,0.1153827628,2.023269016
28,-0.2735665843,0.1153827628,2.023269016
29,-0.2735665843,0.1153827628,2.023269016
30,-0.2735665843,0.1153827628,2.023269016
31,-0.2328783367,0.7339781072,2.185557636
32,-0.7053034444,0.1569132115,2.257844122
33,-0.921782605,0.1817961924,2.437961511
34,-0.921782605,0.1817961924,2.437961511
35,-0.921782605,0.1817961924,2.437961511
36,-0.921782605,0.1817961924,2.437961511
37,-1.181339389,0.1026975084,3.016961284
38,-1.181339389,0.1026975084,3.016961284
39,-1.181339389,0.1026975084,3.016961284
40,-1.181339389,0.1026975084,3.016961284
41,-1.181339389,0.1026975084,3.016961284
42,-0.006589829306,0.4240006739,2.173737881
43,0.1871833875,1.033543988,3.765619806
44,0.1871833875,1.033543988,3.765619806
45,0.1871833875,1.033543988,3.765619806
46,0.1743250115,0.8323746326,3.148495966
47,-0.09546485144,0.5875061404,2.225869195
48,-0.820345526,0.07253773034,2.523506916
49,-0.820345526,0.07253773034,2.523506916
50,-0.820345526,0.07253773034,2.523506916
51,-0.820345526,0.07253773034,2.523506916
52,-0.820345526,0.07253773034,2.523506916
53,-0.820345526,0.07253773034,2.523506916
54,-0.820345526,0.07253773034,2.523506916
55,-0.820345526,0.07253773034,2.523506916
56,-0.820345526,0.07253773034,2.523506916
57,-0.820345526,0.07253773034,2.523506916
58,-0.820345526,0.07253773034,2.523506916
59,-0.820345526,0.07253773034,2.523506916
60,-0.820345526,0.07253773034,2.523506916
61,-0.6121783224,0.1258005448,2.213393871
62,-0.6121783224,0.1258005448,2.213393871
63,-0.6121783224,0.1258005448,2.213393871
64,-0.9676614348,0.1469975677,2.565777856
65,-0.9676614348,0.1469975677,2.565777856
66,-0.3917389029,0.6953350143,2.008188813
67,-0.3917389029,0.6953350143,2.008188813
68,-0.3917389029,0.6953350143,2.008188813
69,-0.6699532832,0.01072137829,2.431424983
70,-1.576705392,0.1119682235,3.770513811
71,-1.602477445,0.2793930706,2.969175621
72,-1.602477445,0.2793930706,2.969175621
73,-1.602477445,0.2793930706,2.969175621
74,-1.602477445,0.2793930706,2.969175621
75,-1.602477445,0.2793930706,2.969175621
76,-1.602477445,0.2793930706,2.969175621
77,-1.351068298,0.6446593678,1.775023169
78,-1.351068298,0.6446593678,1.775023169
79,-0.52303399,1.432208504,2.044736385
80,-0.52303399,1.432208504,2.044736385
81,-1.011942009,0.6024038372,1.841024707
82,-0.7732878855,0.3995752913,2.024629132
83,-0.7732878855,0.3995752913,2.024629132
84,-0.4526371764,0.3935122902,1.974726492
85,-0.004372862163,0.8499926929,2.712406195
86,-0.2491595152,0.857036464,2.258865578
87,-0.2491595152,0.857036464,2.258865578
88,-0.2491595152,0.857036464,2.258865578
89,-0.2491595152,0.857036464,2.258865578
90,0.238536033,0.72423758,3.068215754
91,0.7958116835,0.8235049858,6.377327428
92,0.6597360069,0.5843290873,4.08271929
93,0.6597360069,0.5843290873,4.08271929
94,0.6597360069,0.5843290873,4.08271929
95,0.6597360069,0.5843290873,4.08271929
96,0.6143119667,0.2569740269,2.861250613
97,0.6143119667,0.2569740269,2.861250613
98,0.6143119667,0.2569740269,2.861250613
99,0.601474558,0.2315039432,2.776231532
100,0.601474558,0.2315039432,2.776231532
101,-0.2578609153,0.3857471823,2.005544543
102,-0.2578609153,0.3857471823,2.005544543
103,-0.2578609153,0.3857471823,2.005544543
104,-0.2578609153,0.3857471823,2.005544543
105,-0.4784886411,0.4206654961,1.967266268
106,0.2816570456,0.1932726909,2.235104118
107,0.3166111527,0.8337783549,3.639946914
108,0.7298657249,1.086498236,8.206176643
109,1.536608174,1.042385762,27.02974692
110,1.783890141,1.12726044,48.2044261
111,1.783890141,1.12726044,48.2044261
