idx,x,y,observable
1,-0.4564042954,0.1677522234,2.236445689
2,-0.4564042954,0.1677522234,2.236445689
3,-0.4564042954,0.1677522234,2.236445689
4,-0.7996365495,0.2697013922,2.712157452
5,-0.8324008592,0.627213294,3.086287707
6,-0.8324008592,0.627213294,3.086287707
7,-0.9540482595,0.7917103927,3.537013427
8,-0.855059083,0.172967065,2.761043641
9,-0.855059083,0.172967065,2.761043641
10,-0.855059083,0.172967065,2.761043641
11,-1.118514404,0.09570319634,3.260233573
12,-1.118514404,0.09570319634,3.260233573
13,-0.8156820067,0.1903324803,2.701563589
14,-0.3371871418,1.180045915,3.50620353
15,-0.3325681978,1.298590434,3.796938722
16,-0.3325681978,1.298590434,3.796938722
17,-0.2158946716,1.25901696,3.631734216
18,-0.6158459044,1.000225398,3.379717024
19,-0.3849202281,0.6603163003,2.584181198
20,-0.4379854428,0.6148379009,2.569856893
21,-0.1998866927,0.7438386011,2.593250554
22,-0.2735891046,0.5824861771,2.414141145
23,-0.3011685692,0.3302413437,2.199761852
24,-0.3011685692,0.3302413437,2.199761852
25,-0.06821845853,0.6164108633,2.38461611
26,-0.5119440247,0.0712153637,2.267158312
27,-0.5898378589,0.2802022343,2.426421992
28,-0.5898378589,0.2802022343,2.426421992
29,-0.4300473237,0.345751287,2.304484653
30,-0.5097720375,0.4409889411,2.454338776
31,-0.2009759193,0.226597302,2.091737657
32,-0.2009759193,0.226597302,2.091737657
33,-0.3849771224,0.5276424454,2.426613935
34,-0.4570090634,0.3197517447,2.311098462
35,-0.2744248068,0.3100462436,2.171437648
36,-0.2744248068,0.3100462436,2.171437648
37,-0.2744248068,0.3100462436,2.171437648
38,-0.438089428,0.2631529943,2.261171845
39,-0.3105117807,0.3087701086,2.191756546
40,-0.3105117807,0.3087701086,2.191756546
41,-0.002537119586,0.2815515078,2.079277689
42,0.1620735644,0.3794801388,2.170273016
43,0.1620735644,0.3794801388,2.170273016
44,0.1620735644,0.3794801388,2.170273016
45,0.1620735644,0.3794801388,2.170273016
46,0.07081722436,0.3340171869,2.11658256
47,0.3711339829,0.6971155184,2.623710479
48,0.784536992,0.622711882,3.00326838
49,0.7700193308,0.9719634644,3.537642746
50,0.7700193308,0.9719634644,3.537642746
51,0.8537824818,0.9752069513,3.679973124
52,1.195389295,0.9784245501,4.386270167
53,1.241808585,0.7523883707,4.108176823
54,1.389140996,1.122143782,5.188919376
55,1.34463306,1.383182903,5.721233007
56,1.664822037,1.147304529,6.087940095
57,1.967584702,1.06140454,6.997969157
58,1.967584702,1.06140454,6.997969157
59,1.967584702,1.06140454,6.997969157
60,1.845488226,1.362129798,7.261224379
61,1.845488226,1.362129798,7.261224379
62,1.845488226,1.362129798,7.261224379
63,1.20263345,0.898040525,4.252804001
64,1.20263345,0.898040525,4.252804001
65,1.20263345,0.898040525,4.252804001
66,1.20263345,0.898040525,4.252804001
67,1.20263345,0.898040525,4.252804001
68,1.20263345,0.898040525,4.252804001
69,0.8696137964,0.9471056851,3.653237334
70,0.612822895,0.7592176297,2.95196331
71,0.5707819138,0.8953244284,3.127397825
72,0.3500592929,0.9135132865,2.957048033
73,0.3500592929,0.9135132865,2.957048033
74,0.3500592929,0.9135132865,2.957048033
75,0.3500592929,0.9135132865,2.957048033
76,0.7419508431,0.8999421221,3.360386877
77,0.7419508431,0.8999421221,3.360386877
78,0.9325608076,1.01170514,3.89321695
79,1.094142928,1.018099698,4.233675744
80,1.094142928,1.018099698,4.233675744
81,0.8700915665,0.3830009074,2.903749029
82,0.8700915665,0.3830009074,2.903749029
83,0.5368681887,0.6034982371,2.652437574
84,0.8945466051,0.3009337037,2.890774723
85,1.105306406,0.6923778262,3.701089306
86,1.170075104,1.120760102,4.625178955
87,1.308505572,0.9466889762,4.60840685
88,1.308505572,0.9466889762,4.60840685
89,1.406979793,0.8573899755,4.714709708
90,1.443201205,0.2914161037,4.167753064
91,1.443201205,0.2914161037,4.167753064
92,1.64314212,0.2093786984,4.743755467
93,1.541461358,0.1854509881,4.410495186
94,1.559935953,0.441359467,4.628198358
95,1.090045808,0.3686777019,3.324123111
96,0.7531961173,0.2962014465,2.655039688
97,0.9483960447,0.192756725,2.936610213
98,0.9012107062,0.06277975662,2.816122035
99,0.9012107062,0.06277975662,2.816122035
100,1.051581531,0.3885146242,3.256767329
101,1.051581531,0.3885146242,3.256767329
102,0.727134989,0.3093306347,2.624410734
103,0.727134989,0.3093306347,2.624410734
104,0.3785647475,0.3627584622,2.27490497
105,0.3785647475,0.3627584622,2.27490497
106,-0.1079571137,0.4213455795,2.189186836
107,0.1523133634,0.422115714,2.201381037
108,0.2472663941,0.3180275356,2.162282183
109,0.3265443265,0.6643402603,2.547979179
110,0.2855975961,0.3602694392,2.211360056
111,0.1535918414,0.3951843323,2.17976111
112,-0.3737850627,0.2744377561,2.215031355
113,-0.1482371068,0.3114071496,2.118948653
114,-0.02546950301,0.5138136792,2.264653193
115,0.266755531,0.5669116322,2.392547312
116,-0.007488419814,0.5779913918,2.334130125
117,-0.1554829831,0.8705876917,2.782097887
118,-0.470261321,0.8447544572,2.934755803
119,-0.3209603473,0.5114685848,2.364615658
120,-0.3209603473,0.5114685848,2.364615658
121,-0.5566041558,0.2870885047,2.392227996
122,-0.5847234402,0.4776611237,2.570061651
123,-0.9475975262,0.1103361177,2.91011513
124,-0.9475975262,0.1103361177,2.91011513
125,-0.9475975262,0.1103361177,2.91011513
126,-0.9475975262,0.1103361177,2.91011513
127,-0.9475975262,0.1103361177,2.91011513
128,-0.9475975262,0.1103361177,2.91011513
129,-0.6397714448,0.2897420231,2.493257942
130,-0.8270256861,0.1343787196,2.702029126
131,-0.8270256861,0.1343787196,2.702029126
132,-0.8270256861,0.1343787196,2.702029126
133,-0.8270256861,0.1343787196,2.702029126
134,-0.8270256861,0.1343787196,2.702029126
135,-0.8270256861,0.1343787196,2.702029126
136,-0.8307595164,0.1219609654,2.705035851
137,-0.6005586434,0.3714478455,2.498644186
138,-1.044290168,0.3091514451,3.186116571
139,-1.072751678,0.3601635784,3.280513967
140,-1.072751678,0.3601635784,3.280513967
141,-1.072751678,0.3601635784,3.280513967
142,-1.072751678,0.3601635784,3.280513967
143,-1.072751678,0.3601635784,3.280513967
144,-0.9996859996,0.4215707539,3.177093998
145,-0.6024482295,0.5734322129,2.691768372
146,-0.6024482295,0.5734322129,2.691768372
147,-0.4939746072,0.2877247754,2.326796459
148,-0.1683902999,0.4040050353,2.191575362
149,0.0382015122,0.2235069226,2.0514147
150,0.0382015122,0.2235069226,2.0514147
151,0.07661788952,0.3311651218,2.115540639
152,0.3775750479,0.6376518709,2.549162825
153,0.3612284179,0.7904715718,2.755331276
154,0.6834735462,0.5842344169,2.808465942
155,0.8654092579,0.5101348578,3.009170757
156,0.8654092579,0.5101348578,3.009170757
157,0.541227207,0.4723940552,2.516083033
158,0.2479598084,0.2254922239,2.11233081
159,-0.2060178346,0.143039506,2.062903648
160,-0.2060178346,0.143039506,2.062903648
161,-0.2060178346,0.143039506,2.062903648
162,-0.3785772674,0.3474810467,2.264063825
163,-0.3785772674,0.3474810467,2.264063825
164,0.2188030372,0.1772053879,2.079276519
165,0.2188030372,0.1772053879,2.079276519
166,0.5114595225,0.2192827897,2.309675785
167,0.5114595225,0.2192827897,2.309675785
168,0.5114595225,0.2192827897,2.309675785
169,0.6487908805,0.4286908986,2.604705493
170,0.219282022,0.4143119339,2.219738984
171,0.07097971805,0.8282485257,2.691033741
172,0.2403968261,1.208625387,3.518565959
173,0.1678555299,1.283054873,3.674405287
174,-0.04971545531,1.219603323,3.489903891
175,-0.04971545531,1.219603323,3.489903891
176,-0.04971545531,1.219603323,3.489903891
177,-0.04311175594,1.123141033,3.263304403
178,-0.005512677596,1.308065365,3.711065388
179,-0.005512677596,1.308065365,3.711065388
180,0.1422892519,1.181033067,3.415085337
181,-0.09841333991,0.9005410376,2.820659346
182,-0.1205004108,0.5810849867,2.352180111
