idx,x,y,observable
1,0.43483054,0.251859167,2.252510639
2,-0.5070607524,0.2180137618,2.304640607
3,-0.5070607524,0.2180137618,2.304640607
4,-0.5070607524,0.2180137618,2.304640607
5,-0.01123114628,0.004704202319,2.000148268
6,-0.01123114628,0.004704202319,2.000148268
7,-0.2605812758,0.3874072894,2.217987009
8,-0.01329930892,0.4722819665,2.223227127
9,-0.01329930892,0.4722819665,2.223227127
10,0.1084917878,0.01565919593,2.012015678
11,0.1084917878,0.01565919593,2.012015678
12,0.1084917878,0.01565919593,2.012015678
13,0.1084917878,0.01565919593,2.012015678
14,0.2692671113,0.2655277793,2.143009779
15,0.6715660206,0.4238442373,2.630644858
16,0.6715660206,0.4238442373,2.630644858
17,0.6715660206,0.4238442373,2.630644858
18,1.105361362,0.151249577,3.244700176
19,1.51535751,0.1266134701,4.312339355
20,1.51535751,0.1266134701,4.312339355
21,1.51535751,0.1266134701,4.312339355
22,1.51535751,0.1266134701,4.312339355
23,1.113842529,0.6615275185,3.678263837
24,0.4162542929,1.396933483,4.124690793
25,0.4168591503,1.349001947,3.993577804
26,0.4168591503,1.349001947,3.993577804
27,-0.1802970351,0.6919379241,2.511285112
28,-0.3073559808,0.5859681718,2.437826397
29,0.2313971605,0.7017790584,2.546038493
30,-0.006189098995,0.7382117648,2.544994915
31,-0.2476132216,0.406641024,2.22666923
32,-0.2476132216,0.406641024,2.22666923
33,-0.2476132216,0.406641024,2.22666923
34,-0.2476132216,0.406641024,2.22666923
35,-0.2476132216,0.406641024,2.22666923
36,-0.2476132216,0.406641024,2.22666923
37,-0.2728681251,0.7017915432,2.566968384
38,-0.5565967284,1.027410295,3.365371831
39,-0.2555890107,1.141921417,3.369310264
40,-0.2555890107,1.141921417,3.369310264
41,-0.2555890107,1.141921417,3.369310264
42,-1.075393355,0.1301710681,3.173415375
43,-0.8047194444,0.1817282561,2.680598543
44,-0.8047194444,0.1817282561,2.680598543
45,-0.8047194444,0.1817282561,2.680598543
46,-0.8047194444,0.1817282561,2.680598543
47,-0.8047194444,0.1817282561,2.680598543
48,-0.8047194444,0.1817282561,2.680598543
49,0.6505630207,0.2771403401,2.500039012
50,0.6505630207,0.2771403401,2.500039012
51,0.2288507199,0.4428896384,2.248523884
52,0.3921960536,0.417173838,2.327851756
53,0.05552443921,0.3547902794,2.128959106
54,0.05552443921,0.3547902794,2.128959106
55,0.5843537024,0.409460559,2.509127199
56,0.5843537024,0.409460559,2.509127199
57,0.9680086825,0.63967592,3.346226092
58,0.9680086825,0.63967592,3.346226092
59,0.9680086825,0.63967592,3.346226092
60,1.03898698,0.572592029,3.407355575
61,1.102762586,1.00100144,4.218089202
62,1.102762586,1.00100144,4.218089202
63,1.102762586,1.00100144,4.218089202
64,1.108387618,0.5133594297,3.492061016
65,0.3289215286,0.7623794324,2.689411771
66,0.3289215286,0.7623794324,2.689411771
67,0.3289215286,0.7623794324,2.689411771
68,1.27806684,0.9018174631,4.446729585
69,1.279549371,0.2473111062,3.698409377
70,0.6844216508,1.232209948,3.986774352
71,0.1088497814,1.301477346,3.705691557
72,0.1088497814,1.301477346,3.705691557
73,-0.9767880865,0.3208381561,3.057052088
74,-0.9767880865,0.3208381561,3.057052088
75,-0.2266239561,0.871183512,2.810319129
